ElapsedTime,Class1,Class2,Class3,Class4,BestClass
43.59795,72.92117,71.74949,71.11516,67.018,3
43.61517,72.92117,71.74949,71.11516,67.018,3
43.63211,72.92117,71.74949,71.11516,67.018,3
43.6485,72.92117,71.74949,71.11516,67.018,3
43.66581,72.92117,71.74949,71.11516,67.018,3
43.68536,72.92117,71.74949,71.11516,67.018,3
43.70221,72.92117,71.74949,71.11516,67.018,3
43.71976,72.92117,71.74949,71.11516,67.018,3
43.73591,72.92117,71.74949,71.11516,67.018,3
43.75291,72.92117,71.74949,71.11516,67.018,3
43.76993,72.92117,71.74949,71.11516,67.018,3
43.78698,72.92117,71.74949,71.11516,67.018,3
43.80331,72.92117,71.74949,71.11516,67.018,3
43.82107,72.92117,71.74949,71.11516,67.018,3
43.83707,72.92117,71.74949,71.11516,67.018,3
43.85425,72.92117,71.74949,71.11516,67.018,3
43.87071,72.92117,71.74949,71.11516,67.018,3
43.88756,72.92117,71.74949,71.11516,67.018,3
43.90441,72.92117,71.74949,71.11516,67.018,3
43.92126,72.92117,71.74949,71.11516,67.018,3
43.93826,72.92117,71.74949,71.11516,67.018,3
43.95496,72.92117,71.74949,71.11516,67.018,3
43.97181,72.92117,71.74949,71.11516,67.018,3
43.98866,72.92117,71.74949,71.11516,67.018,3
44.0058,72.90428,71.55372,63.42869,63.09871,3
44.02235,72.90428,71.55372,63.42869,63.09871,3
44.0392,72.90428,71.55372,63.42869,63.09871,3
44.05605,72.90428,71.55372,63.42869,63.09871,3
44.07297,72.90428,71.55372,63.42869,63.09871,3
44.08993,72.90428,71.55372,63.42869,63.09871,3
44.1066,72.90428,71.55372,63.42869,63.09871,3
44.12345,72.90428,71.55372,63.42869,63.09871,3
44.1403,72.90428,71.55372,63.42869,63.09871,3
44.15715,72.90428,71.55372,63.42869,63.09871,3
44.17409,72.90428,71.55372,63.42869,63.09871,3
44.19085,72.90428,71.55372,63.42869,63.09871,3
44.2083,72.90428,71.55372,63.42869,63.09871,3
44.22454,72.90428,71.55372,63.42869,63.09871,3
44.24228,72.90428,71.55372,63.42869,63.09871,3
44.25827,72.90428,71.55372,63.42869,63.09871,3
44.27526,72.90428,71.55372,63.42869,63.09871,3
44.29225,72.90428,71.55372,63.42869,63.09871,3
44.30924,72.90428,71.55372,63.42869,63.09871,3
44.32631,72.90428,71.55372,63.42869,63.09871,3
44.34249,72.90428,71.55372,63.42869,63.09871,3
44.35934,72.90428,71.55372,63.42869,63.09871,3
44.37625,72.90428,71.55372,63.42869,63.09871,3
44.39304,72.90428,71.55372,63.42869,63.09871,3
44.40989,72.90428,71.55372,63.42869,63.09871,3
44.42723,72.90428,71.55372,63.42869,63.09871,3
44.44424,72.90428,71.55372,63.42869,63.09871,3
44.46043,72.90428,71.55372,63.42869,63.09871,3
44.47728,72.90428,71.55372,63.42869,63.09871,3
44.49442,72.90428,71.55372,63.42869,63.09871,3
44.51098,72.90428,71.55372,63.42869,63.09871,3
44.52783,72.90428,71.55372,63.42869,63.09871,3
